codigo_ibge,nome_municipio,uf,uf_codigo,codigo_ibge_6,nome_norm,populacao,pib_total,taxa_desocupacao,total_internacoes,custo_total_internacoes,total_obitos_sim,pib_per_capita_calculado,taxa_internacao_por_10k,temp_max_cuiaba_c,temp_max_brasil_c,umidade_minima_pct,max_dias_consecutivos_40c,max_focos_calor_mt,meses_em_crise
5222005,Vianópolis,GO,52.0,522200,VIANOPOLIS,,,5.75,3504.0,2955338.72,102.0,,,42.6,42.6,10.0,7.0,2124.0,2
5222054,Vicentinópolis,GO,52.0,522205,VICENTINOPOLIS,,,5.75,1042.0,1025414.6,51.0,,,42.6,42.6,10.0,7.0,2124.0,2
5222203,Vila Boa,GO,52.0,522220,VILA BOA,,,5.75,344.0,539872.42,22.0,,,42.6,42.6,10.0,7.0,2124.0,2
5222302,Vila Propício,GO,52.0,522230,VILA PROPICIO,,,5.75,822.0,1090831.42,35.0,,,42.6,42.6,10.0,7.0,2124.0,2
5100102,Acorizal,MT,51.0,510010,ACORIZAL,,,3.225,368.0,607917.6,49.0,,,42.6,42.6,10.0,7.0,2124.0,2
5100201,Água Boa,MT,51.0,510020,AGUA BOA,,,3.225,4554.0,5316795.38,146.0,,,42.6,42.6,10.0,7.0,2124.0,2
5100250,Alta Floresta,MT,51.0,510025,ALTA FLORESTA,,,3.225,8082.0,8542908.0,363.0,,,42.6,42.6,10.0,7.0,2124.0,2
5100300,Alto Araguaia,MT,51.0,510030,ALTO ARAGUAIA,,,3.225,2160.0,2746526.58,127.0,,,42.6,42.6,10.0,7.0,2124.0,2
5100359,Alto Boa Vista,MT,51.0,510035,ALTO BOA VISTA,,,3.225,754.0,570490.1,30.0,,,42.6,42.6,10.0,7.0,2124.0,2
5100409,Alto Garças,MT,51.0,510040,ALTO GARCAS,,,3.225,1406.0,2670784.56,83.0,,,42.6,42.6,10.0,7.0,2124.0,2
5100508,Alto Paraguai,MT,51.0,510050,ALTO PARAGUAI,,,3.225,692.0,959111.42,55.0,,,42.6,42.6,10.0,7.0,2124.0,2
5100607,Alto Taquari,MT,51.0,510060,ALTO TAQUARI,,,3.225,1454.0,1691183.36,48.0,,,42.6,42.6,10.0,7.0,2124.0,2
5100805,Apiacás,MT,51.0,510080,APIACAS,,,3.225,1238.0,1004848.52,54.0,,,42.6,42.6,10.0,7.0,2124.0,2
5101001,Araguaiana,MT,51.0,510100,ARAGUAIANA,,,3.225,376.0,553080.5,26.0,,,42.6,42.6,10.0,7.0,2124.0,2
5101209,Araguainha,MT,51.0,510120,ARAGUAINHA,,,3.225,150.0,203980.38,10.0,,,42.6,42.6,10.0,7.0,2124.0,2
5101258,Araputanga,MT,51.0,510125,ARAPUTANGA,,,3.225,2104.0,2605880.32,122.0,,,42.6,42.6,10.0,7.0,2124.0,2
5101308,Arenápolis,MT,51.0,510130,ARENAPOLIS,,,3.225,2062.0,2398741.56,71.0,,,42.6,42.6,10.0,7.0,2124.0,2
5101407,Aripuanã,MT,51.0,510140,ARIPUANA,,,3.225,3648.0,2837862.8,134.0,,,42.6,42.6,10.0,7.0,2124.0,2
5101605,Barão de Melgaço,MT,51.0,510160,BARAO DE MELGACO,,,3.225,526.0,809044.24,50.0,,,42.6,42.6,10.0,7.0,2124.0,2
5101704,Barra do Bugres,MT,51.0,510170,BARRA DO BUGRES,,,3.225,3332.0,4567749.12,250.0,,,42.6,42.6,10.0,7.0,2124.0,2
5101803,Barra do Garças,MT,51.0,510180,BARRA DO GARCAS,,,3.225,7898.0,9708781.66,544.0,,,42.6,42.6,10.0,7.0,2124.0,2
5101852,Bom Jesus do Araguaia,MT,51.0,510185,BOM JESUS DO ARAGUAIA,,,3.225,730.0,755133.12,30.0,,,42.6,42.6,10.0,7.0,2124.0,2
5101902,Brasnorte,MT,51.0,510190,BRASNORTE,,,3.225,3632.0,2493698.22,91.0,,,42.6,42.6,10.0,7.0,2124.0,2
5102504,Cáceres,MT,51.0,510250,CACERES,,,3.225,15842.0,17589035.44,727.0,,,42.6,42.6,10.0,7.0,2124.0,2
5102603,Campinápolis,MT,51.0,510260,CAMPINAPOLIS,,,3.225,2722.0,2350235.3,113.0,,,42.6,42.6,10.0,7.0,2124.0,2
5102637,Campo Novo do Parecis,MT,51.0,510263,CAMPO NOVO DO PARECIS,,,3.225,5690.0,5242645.42,196.0,,,42.6,42.6,10.0,7.0,2124.0,2
5102678,Campo Verde,MT,51.0,510267,CAMPO VERDE,,,3.225,8886.0,8943294.18,216.0,,,42.6,42.6,10.0,7.0,2124.0,2
